,index,word,frequency
150,1297,машина,7550
151,553,давати,7534
152,2236,саме,7528
153,213,взяти,7490
154,2269,село,7476
155,1523,нема,7437
156,576,двері,7434
157,678,друг,7406
158,2998,їхній,7289
159,2550,твій,7276
160,2771,хіба,7247
161,2043,просто,7239
162,2989,іти,7232
163,2291,син,7223
164,1753,писати,7195
165,1384,між,7170
166,1353,молодий,7125
167,1696,пан,7120
168,397,відповісти,7023
169,770,завжди,6996
170,2353,сонце,6973
171,2527,таки,6966
172,1989,прийти,6900
173,2618,три,6897
174,2731,хата,6879
175,1261,мабуть,6846
176,2134,раптом,6816
177,143,бік,6695
178,1572,ніч,6685
179,144,білий,6666
180,2277,серед,6608
181,660,дорога,6584
182,2725,хай,6578
183,1563,ніколи,6569
184,1503,небо,6569
185,2628,трохи,6560
186,2395,справді,6540
187,1962,працювати,6501
188,631,добрий,6475
189,1225,любити,6470
190,2870,шлях,6445
191,2732,хвилина,6443
192,91,бог,6440
193,2666,україна,6435
194,940,знайти,6346
195,2047,проти,6307
196,1809,погляд,6283
197,2750,ходити,6280
198,2466,стіл,6280
199,2765,хтось,6244
200,2551,твір,6234
201,269,високий,6220
202,2187,розуміти,6176
203,2966,ім,6160
204,2506,сьогодні,6140
205,1249,ліс,6123
206,2122,разом,6097
207,1181,кінь,6067
208,1156,куди,5974
209,1136,країна,5925
210,2576,тисяча,5895
211,560,далі,5847
212,1695,пам,5836
213,2682,усе,5779
214,1769,плече,5776
215,1266,майже,5701
216,1972,при,5617
217,364,вулиця,5615
218,594,десь,5613
219,2334,смерть,5574
220,1334,мова,5562
221,1833,поет,5546
222,1333,мов,5541
223,1561,ніж,5540
224,1198,лежати,5516
225,2469,стіна,5516
226,1050,київ,5482
227,1827,подумати,5473
228,707,дід,5448
229,1071,колгосп,5446
230,2859,шевченко,5413
231,2950,ять,5409
232,1206,лист,5375
233,2790,цілий,5352
234,417,вікно,5311
235,983,зрозуміти,5289
236,490,гора,5225
237,2227,річ,5198
238,124,будинок,5179
239,2126,район,5146
240,827,запитати,5135
241,1179,кінець,5135
242,2327,слухати,5124
243,634,довго,5124
244,1785,повернутися,5105
245,231,видно,5105
246,1843,поки,5103
247,2804,червоний,5095
248,2802,чекати,5095
249,114,брат,5088
250,2316,скільки,5055
251,1849,поле,5047
252,475,година,5045
253,883,звичайно,5019
254,743,живий,5013
255,1602,од,4990
256,1524,немає,4976
257,1402,місяць,4913
258,2040,просити,4889
259,2529,також,4886
260,1470,нарешті,4880
261,2380,спитати,4877
262,69,берег,4835
263,283,виходити,4802
264,1361,море,4797
265,2101,пісня,4686
266,1755,письменник,4679
267,2997,їхати,4663
268,297,власний,4620
269,11,адже,4619
270,2655,увага,4616
271,468,глянути,4607
272,2855,швидко,4605
273,107,боротьба,4556
274,591,дерево,4546
275,1577,об,4532
276,633,довгий,4524
277,1078,колись,4522
278,2934,яний,4520
279,2177,розмова,4517
280,1381,мусити,4513
281,115,брати,4511
282,713,діло,4503
